OTU	g__[Eubacterium]	g__[Prevotella]	g__[Ruminococcus]	g__Sutterella	g__Acinetobacter	g__Actinobacillus	g__Dialister	g__Actinomyces	g__Parvimonas	g__Neisseria	g__Dorea	g__Streptococcus	g__Aggregatibacter	g__Eikenella	g__Holdemania	g__Akkermansia	g__Epulopiscium	g__Erwinia	g__Oscillospira	g__Faecalibacterium	g__Parabacteroides	g__Anaerostipes	g__Fusobacterium	g__Turicibacter	g__Phascolarctobacterium	g__Odoribacter	g__Bacteroides	g__Granulicatella	g__Haemophilus	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Porphyromonas	g__Prevotella	g__Pseudomonas	g__Campylobacter	g__Lachnospira	g__Eggerthella	g__Staphylococcus	g__Roseburia	g__Rothia	g__Veillonella	g__Ruminococcus	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium
g__[Eubacterium]	1.0	0.0204209503732	0.312099533158	-0.126008133245	-0.13699811632	-0.191309217418	-0.0848377382273	-0.0890022467243	-0.115514228523	-0.159782908325	0.260294374835	-0.147695448088	-0.201950906658	-0.0906177418545	0.257391024446	0.0570505164332	0.0719831704652	-0.145204923303	0.188041779448	0.00704716570255	0.120402483615	0.0667999620307	-0.149049642134	0.0814771899346	0.0755120753757	-0.0879447159019	0.0119391896334	-0.170220743325	-0.158250745778	0.037584968511	0.00246581249175	0.353521984103	-0.14788879965	0.0239611483354	-0.111051147967	-0.101068534957	0.158312172342	0.0975067570395	-0.113702725506	0.219809288208	-0.131752831519	-0.0169701493993	0.310311991785	0.123049406659	-0.137404518833	0.236751901785	-0.106545750673
g__[Prevotella]	0.0204209503732	1.0	-0.072383163227	0.0735915228597	-0.0298259637699	-0.0332167356917	0.0191182548093	-0.0824323377122	-0.0288621710043	0.0639034323222	-0.098488576684	0.0258884595106	0.0869571571398	-0.0866831109296	-0.079044475496	0.0202552992325	-0.115879068452	-0.0950851090626	-0.00343768708949	0.0512486641521	0.0280521792789	0.0429734186037	0.0376208885546	-0.0469281085021	0.0716840423413	0.0432357892684	-0.125326089768	-0.0192058661023	0.0290764199991	0.04060448412	0.10381085275	0.0111329734383	0.102499404683	0.960605408736	-0.075063930702	-0.00109765386179	-0.0489538055479	-0.214962162619	-0.0387325282071	0.0395094339993	-0.025481335623	-0.0381867328737	-0.0787523551154	0.0785454428327	0.0954244916811	0.0502189172496	-0.025362385384
g__[Ruminococcus]	0.312099533158	-0.072383163227	1.0	0.13074635302	-0.148888294536	-0.314914626042	0.0224577139672	-0.145164622285	-0.191166372385	-0.280404157038	0.487410561716	-0.224938839233	-0.289817522314	-0.261938648669	0.112405312521	0.0785582000743	0.0177048386734	-0.210746814343	0.385659738466	0.340389732862	0.251687534044	0.135682118202	-0.225457060792	-0.0264487357241	0.110656394901	0.0747000458182	0.268435850736	-0.229702026893	-0.253196572673	0.142552922825	0.118114848393	0.497340960548	-0.215419254945	-0.0721374525362	-0.0725317108459	-0.333647235991	0.220602174272	0.0458157855183	-0.134552756335	0.317416239765	-0.239132746472	-0.13196612916	0.97565028588	0.0909592857611	-0.0276072441796	0.517225453377	-0.203053829204
g__Sutterella	-0.126008133245	0.0735915228597	0.13074635302	1.0	-0.193194109132	-0.0952963001962	0.148916015635	-0.130944701375	-0.133838930758	-0.0897612652728	0.08441179719	-0.120863663831	-0.0667562177253	-0.260192931471	0.00344655524537	0.0224811845582	-0.150400274403	-0.211168127892	0.223614910023	0.242463141604	0.357851039977	-0.0506619424073	-0.0220095164505	-0.199558186025	0.108292899759	0.235457968595	0.286837256405	-0.112025986554	0.00142582347588	0.0393337961538	0.25003465467	0.127723827966	-0.0568296456419	0.0737881450176	-0.251961175696	-0.284733618578	-0.0272848864563	-0.108327391999	-0.148628364155	0.0653865715615	-0.112938614259	-0.119129212294	0.124504212224	-0.0319640071931	0.047415044001	0.172207652561	-0.231141480788
g__Acinetobacter	-0.13699811632	-0.0298259637699	-0.148888294536	-0.193194109132	1.0	0.160415704478	-0.0528399556198	0.126953989386	0.0662998112353	0.168124128399	-0.144931638782	0.187237296314	0.110259850406	0.14290699443	-0.132682502733	-0.065279657493	0.14469314423	0.461913557289	-0.262353899444	-0.273329284558	-0.253135767929	0.00087921882557	0.0222953777756	0.180512090558	-0.0908893486124	-0.130712354873	-0.257558410586	0.151545768916	0.0904064672262	0.0398857245413	-0.192563636608	-0.215788055863	0.066410154817	-0.0354965895852	0.411141439246	0.13265415272	-0.0760833630283	0.107493715007	0.334628197199	-0.239428566016	0.202511731726	0.133851163977	-0.15464795778	-0.0268669779717	0.0276955504292	-0.234687275941	0.382606520982
g__Actinobacillus	-0.191309217418	-0.0332167356917	-0.314914626042	-0.0952963001962	0.160415704478	1.0	0.0450381588395	0.15631648102	0.121581213803	0.324765345758	-0.242577655822	0.313271894629	0.514791585122	0.301354803387	-0.193270382097	-0.0652732624617	0.112489595976	0.259240330015	-0.252931454414	-0.143673869756	-0.271052669599	-0.0997397961307	0.263591003407	0.0580669646603	-0.0768132510059	-0.124076844529	-0.220422613679	0.267534020583	0.565628032427	-0.0900868612555	-0.121503122199	-0.270868186739	0.132014124076	-0.0210097408289	0.140231559928	0.319838601297	-0.184427763056	0.0388195475092	0.186907125894	-0.304176229911	0.243003220082	0.325290450636	-0.308033193689	-0.0208838403792	-0.0169812279214	-0.231567073648	0.125038432369
g__Dialister	-0.0848377382273	0.0191182548093	0.0224577139672	0.148916015635	-0.0528399556198	0.0450381588395	1.0	-0.175421552284	0.0349931782204	-0.0187245430183	-0.0118967489257	-0.0917133383964	0.136250848726	-0.0524017418275	-0.0426633817739	-0.00578950947141	-0.102548070443	0.0157118504878	0.100173070751	0.0862265475742	0.0715743859327	0.0397722195053	0.157804856994	-0.10165956025	-0.368131383639	0.0643290688606	0.100903568764	-0.0465123364233	0.0460057475418	-0.0160860631228	0.0960166983566	-0.0507581490482	0.00275843221071	0.0211375347048	-0.0149522608657	-0.0136817887105	-0.0529948272725	0.0816372084724	-0.0093121972452	-0.0282918669478	-0.0673988675742	0.0251612495441	0.0277108567488	-0.102656546809	-0.0319528033421	0.0122483488251	-0.054308483642
g__Actinomyces	-0.0890022467243	-0.0824323377122	-0.145164622285	-0.130944701375	0.126953989386	0.15631648102	-0.175421552284	1.0	0.127791633861	0.248181093447	-0.152863399637	0.480497120396	0.171259257436	0.201982298428	-0.0992998903453	-0.0518135798971	0.137419901065	0.115868453575	-0.304256828055	-0.233864387363	-0.182590808008	-0.129582405613	0.0591032879923	0.090111830595	-0.0380391961059	-0.17486986637	-0.205033698351	0.454276711236	0.229561062464	-0.102742856861	-0.259859767332	-0.170144815425	0.0875085353515	-0.0800390194371	0.0689067420443	0.179543220196	-0.0980455164132	0.084482930223	0.095775393246	-0.163155446937	0.355801148422	0.320540460838	-0.149887067337	0.00306969335988	-0.0215803260761	-0.226006514803	0.143074930546
g__Parvimonas	-0.115514228523	-0.0288621710043	-0.191166372385	-0.133838930758	0.0662998112353	0.121581213803	0.0349931782204	0.127791633861	1.0	0.126775514781	-0.0980966842798	0.135619921252	0.138216502789	0.244856385465	-0.0503170763281	-0.0321402191012	0.153499711048	0.173552301725	-0.283852881562	-0.153658733506	-0.138621892599	-0.0472775596868	0.292285117826	0.100885485702	-0.0817938099817	-0.169190815522	-0.0525081787845	0.128634618981	0.102669683885	-0.0997343149646	-0.100391329184	-0.208716673537	0.173079659291	-0.030294084004	0.143124477845	0.236748788231	-0.110559063988	0.0780517474651	0.0762192262499	-0.187757792003	0.126626993305	0.0772894968419	-0.187878870977	-0.104302646722	-0.0223211652016	-0.194124428641	0.117946153856
g__Neisseria	-0.159782908325	0.0639034323222	-0.280404157038	-0.0897612652728	0.168124128399	0.324765345758	-0.0187245430183	0.248181093447	0.126775514781	1.0	-0.239158044111	0.275539853765	0.375406183203	0.171545241778	-0.164221360743	-0.108588231865	0.0570172231621	0.188107539895	-0.293782799883	-0.216885052111	-0.249242366726	-0.183572619099	0.252814652585	-0.0562189245968	-0.124140719967	-0.164071162049	-0.226215547305	0.316569008081	0.293304227726	-0.137096840104	-0.164377336263	-0.253241934203	0.213410257366	0.0620886645072	0.0926906181248	0.332209843236	-0.232120642772	0.055699661729	0.071847351867	-0.228046151025	0.354096497951	0.27732696845	-0.293430519139	-0.109611982687	-0.0245781073426	-0.314976001035	0.14179570661
g__Dorea	0.260294374835	-0.098488576684	0.487410561716	0.08441179719	-0.144931638782	-0.242577655822	-0.0118967489257	-0.152863399637	-0.0980966842798	-0.239158044111	1.0	-0.182655646244	-0.238071897911	-0.155857715625	0.15285599397	-0.0467996721269	0.0616448530321	-0.160877906017	0.404274718409	0.257233396354	0.254982626057	-0.126762267524	-0.0941290825823	-0.104283705877	0.0859832949421	0.00121238216104	0.306996843477	-0.215104464953	-0.204282721885	-0.00430122029041	0.0855764598461	0.428111219714	-0.16391450244	-0.0938566183177	-0.0985182952877	-0.279442572388	0.0245779289579	0.157577463041	-0.143569899097	0.167813633705	-0.252114683448	-0.154574433338	0.484260710316	-0.0887443223781	-0.010804342459	0.428195421726	-0.172187153188
g__Streptococcus	-0.147695448088	0.0258884595106	-0.224938839233	-0.120863663831	0.187237296314	0.313271894629	-0.0917133383964	0.480497120396	0.135619921252	0.275539853765	-0.182655646244	1.0	0.339854441977	0.083429855162	-0.26307432327	-0.131822469088	0.149659883891	0.232856406625	-0.343736588387	-0.204921074201	-0.253381153884	-0.240208841798	0.228030176767	0.0942093813202	-0.120656140955	-0.235501537708	-0.219245951406	0.533341385326	0.466089644879	-0.108826507377	-0.286877592897	-0.267245537552	0.0529488837642	0.0309398455206	0.141966240964	0.170490752351	-0.117590833881	-0.0568103269574	0.129919009367	-0.221513347505	0.339760298508	0.442175503222	-0.231186170555	-0.0290796865286	-0.0995208339508	-0.283839347515	0.16624492374
g__Aggregatibacter	-0.201950906658	0.0869571571398	-0.289817522314	-0.0667562177253	0.110259850406	0.514791585122	0.136250848726	0.171259257436	0.138216502789	0.375406183203	-0.238071897911	0.339854441977	1.0	0.31216521233	-0.19054653981	-0.137789619079	0.114130364136	0.176289900572	-0.291654780265	-0.154297906621	-0.272057168571	-0.183620323267	0.382912088823	-0.050762325429	-0.14750608379	-0.130174019395	-0.153638741829	0.266313574668	0.619904613959	-0.0888759195627	-0.0727177880212	-0.339956479512	0.195138019278	0.0761526695741	0.0707248701064	0.359105925229	-0.197491938188	0.0648039997835	0.0654135775267	-0.25651086771	0.218132731456	0.347557342562	-0.289144152628	-0.0231862272145	-0.0681399926932	-0.315733416267	0.0825351988307
g__Eikenella	-0.0906177418545	-0.0866831109296	-0.261938648669	-0.260192931471	0.14290699443	0.301354803387	-0.0524017418275	0.201982298428	0.244856385465	0.171545241778	-0.155857715625	0.083429855162	0.31216521233	1.0	-0.0639582873136	-0.0449442144799	0.167542526348	0.191469486801	-0.306537610902	-0.21714060415	-0.232636290649	-0.0727745568011	0.299857135323	0.110491835471	-0.111879292535	-0.167628044161	-0.17706462307	0.160739440338	0.259149024501	-0.0892229475018	-0.0405290398593	-0.323828442012	0.0453559358935	-0.0800699898977	0.141784536504	0.385445247721	-0.149401683469	0.147805271577	0.132438710157	-0.270741419472	0.193700925905	0.239145532159	-0.253820762673	-0.0509152929792	0.000107783423294	-0.317194138668	0.197305591595
g__Holdemania	0.257391024446	-0.079044475496	0.112405312521	0.00344655524537	-0.132682502733	-0.193270382097	-0.0426633817739	-0.0992998903453	-0.0503170763281	-0.164221360743	0.15285599397	-0.26307432327	-0.19054653981	-0.0639582873136	1.0	0.13220504198	-0.0903427424998	-0.175542315412	0.208773310572	0.040642605494	0.229310291132	0.20685320516	-0.244535969579	-0.0433060489494	0.196064760832	0.171450127157	0.124306769607	-0.143886020472	-0.225802299307	-0.0608067933513	0.138490054796	0.278918670762	-0.0489847425468	-0.069022370452	-0.115470101855	-0.0706638419977	0.202466332223	0.112439311502	-0.13562587021	0.30331002085	-0.136498461906	-0.27066473667	0.116723723592	0.0693715995445	-0.0547842800205	0.193996572145	-0.10499730018
