OTU	g__[Eubacterium]	g__[Prevotella]	g__[Ruminococcus]	g__Sutterella	g__Acinetobacter	g__Actinobacillus	g__Dialister	g__Actinomyces	g__Parvimonas	g__Neisseria	g__Dorea	g__Streptococcus	g__Aggregatibacter	g__Eikenella	g__Holdemania	g__Akkermansia	g__Epulopiscium	g__Erwinia	g__Oscillospira	g__Faecalibacterium	g__Parabacteroides	g__Anaerostipes	g__Fusobacterium	g__Turicibacter	g__Phascolarctobacterium	g__Odoribacter	g__Bacteroides	g__Granulicatella	g__Haemophilus	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Porphyromonas	g__Prevotella	g__Pseudomonas	g__Campylobacter	g__Lachnospira	g__Eggerthella	g__Staphylococcus	g__Roseburia	g__Rothia	g__Veillonella	g__Ruminococcus	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium
g__[Eubacterium]	1.0	0.628	0.0	0.01	0.005	0.0	0.047	0.043	0.005	0.001	0.0	0.001	0.0	0.021	0.0	0.201	0.107	0.0	0.0	0.864	0.009	0.111	0.002	0.062	0.068	0.036	0.784	0.0	0.0	0.422	0.947	0.0	0.001	0.615	0.008	0.01	0.001	0.016	0.007	0.0	0.001	0.681	0.0	0.007	0.0	0.0	0.01
g__[Prevotella]	0.628	1.0	0.112	0.102	0.487	0.455	0.66	0.048	0.498	0.108	0.031	0.547	0.04	0.028	0.071	0.61	0.005	0.022	0.936	0.245	0.51	0.314	0.429	0.232	0.118	0.31	0.003	0.659	0.499	0.352	0.021	0.779	0.008	0.0	0.062	0.978	0.237	0.0	0.348	0.378	0.526	0.401	0.07	0.071	0.009	0.278	0.547
g__[Ruminococcus]	0.0	0.112	1.0	0.006	0.002	0.0	0.624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.073	0.661	0.0	0.0	0.0	0.0	0.002	0.0	0.543	0.01	0.074	0.0	0.0	0.0	0.001	0.012	0.0	0.0	0.116	0.073	0.0	0.0	0.288	0.003	0.0	0.0	0.01	0.0	0.037	0.546	0.0	0.0
g__Sutterella	0.01	0.102	0.006	1.0	0.0	0.021	0.0	0.004	0.002	0.025	0.065	0.009	0.115	0.0	0.941	0.606	0.0	0.0	0.0	0.0	0.0	0.226	0.624	0.0	0.014	0.0	0.0	0.007	0.977	0.366	0.0	0.005	0.183	0.088	0.0	0.0	0.536	0.009	0.001	0.12	0.003	0.006	0.01	0.461	0.272	0.0	0.0
g__Acinetobacter	0.005	0.487	0.002	0.0	1.0	0.0	0.204	0.002	0.087	0.0	0.001	0.0	0.01	0.0	0.001	0.125	0.002	0.0	0.0	0.0	0.0	0.986	0.613	0.0	0.03	0.004	0.0	0.0	0.03	0.335	0.0	0.0	0.099	0.386	0.0	0.001	0.053	0.007	0.0	0.0	0.0	0.005	0.002	0.539	0.482	0.0	0.0
g__Actinobacillus	0.0	0.455	0.0	0.021	0.0	1.0	0.269	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118	0.005	0.0	0.0	0.002	0.0	0.011	0.0	0.157	0.07	0.004	0.0	0.0	0.0	0.023	0.007	0.0	0.003	0.623	0.0	0.0	0.0	0.364	0.0	0.0	0.0	0.0	0.0	0.609	0.662	0.0	0.0
g__Dialister	0.047	0.66	0.624	0.0	0.204	0.269	1.0	0.0	0.425	0.642	0.789	0.04	0.001	0.21	0.309	0.873	0.012	0.707	0.023	0.044	0.111	0.321	0.0	0.012	0.0	0.132	0.031	0.27	0.301	0.691	0.03	0.229	0.958	0.636	0.725	0.74	0.198	0.036	0.803	0.521	0.085	0.553	0.56	0.017	0.445	0.789	0.211
g__Actinomyces	0.043	0.048	0.0	0.004	0.002	0.001	0.0	1.0	0.005	0.0	0.0	0.0	0.001	0.0	0.018	0.217	0.001	0.007	0.0	0.0	0.0	0.001	0.162	0.032	0.315	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.03	0.068	0.102	0.0	0.022	0.03	0.02	0.001	0.0	0.0	0.0	0.942	0.582	0.0	0.0
g__Parvimonas	0.005	0.498	0.0	0.002	0.087	0.0	0.425	0.005	1.0	0.003	0.017	0.003	0.0	0.0	0.236	0.431	0.0	0.0	0.0	0.002	0.002	0.22	0.0	0.013	0.04	0.0	0.218	0.006	0.015	0.014	0.016	0.0	0.0	0.448	0.0	0.0	0.01	0.046	0.064	0.0	0.001	0.071	0.0	0.008	0.584	0.0	0.001
g__Neisseria	0.001	0.108	0.0	0.025	0.0	0.0	0.642	0.0	0.003	1.0	0.0	0.0	0.0	0.0	0.0	0.009	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.164	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139	0.016	0.0	0.0	0.164	0.075	0.0	0.0	0.0	0.0	0.012	0.552	0.0	0.002
